date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:51	72776/72776	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Jun%202017%2023:26:40%20GMT	https://atixscripts.info/demo/html/businessz/index.html	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/index.html	(from )
11:23:52	69/69	---M-Z	200	added ('OK')	text/plain	date:Mon,%2017%20Apr%202023%2004:23:52%20GMT	https://atixscripts.info/robots.txt		(from )
11:23:52	1200/1200	---M-Z	200	added ('OK')	image/x-icon	date:Wed,%2007%20Jun%202017%2019:15:55%20GMT	https://atixscripts.info/demo/html/businessz/assets/images//favicon.ico	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/assets/images/favicon.ico	(from https://atixscripts.info/demo/html/businessz/index.html)
11:23:53	2174/2174	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Jun%202017%2019:15:51%20GMT	https://atixscripts.info/demo/html/businessz/assets/images//apple-touch-icon-114x114-precomposed.png	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/assets/images/apple-touch-icon-114x114-precomposed.png	(from https://atixscripts.info/demo/html/businessz/index.html)
11:23:54	708/708	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202023%2004:23:54%20GMT	https://atixscripts.info/demo/html/businessz/assets/images//apple-touch-icon-72x72-precomposed.png	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/assets/images/apple-touch-icon-72x72-precomposed.png	(from https://atixscripts.info/demo/html/businessz/index.html)
11:23:55	949/949	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Jun%202017%2019:15:51%20GMT	https://atixscripts.info/demo/html/businessz/assets/images//apple-touch-icon-57x57-precomposed.png	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/assets/images/apple-touch-icon-57x57-precomposed.png	(from https://atixscripts.info/demo/html/businessz/index.html)
11:23:56	29789/29789	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Jun%202017%2019:16:13%20GMT	https://atixscripts.info/demo/html/businessz/assets/revolution/css/settings.css	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/assets/revolution/css/settings.css	(from https://atixscripts.info/demo/html/businessz/index.html)
11:23:57	421291/421291	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Jun%202017%2019:15:52%20GMT	https://atixscripts.info/demo/html/businessz/assets/css/lib.css	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/assets/css/lib.css	(from https://atixscripts.info/demo/html/businessz/index.html)
11:23:58	2740/2740	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Jun%202017%2019:15:51%20GMT	https://atixscripts.info/demo/html/businessz/assets/css/plugins.css	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/assets/css/plugins.css	(from https://atixscripts.info/demo/html/businessz/index.html)
11:23:59	105858/105858	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Jun%202017%2019:15:51%20GMT	https://atixscripts.info/demo/html/businessz/assets/css/elements.css	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/assets/css/elements.css	(from https://atixscripts.info/demo/html/businessz/index.html)
11:24:00	14058/14058	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Jun%202017%2019:15:51%20GMT	https://atixscripts.info/demo/html/businessz/assets/css/rtl.css	/Users/gerianoadikaputra/Programs/httrack/bussinez/atixscripts.info/demo/html/businessz/assets/css/rtl.css	(from https://atixscripts.info/demo/html/businessz/index.html)
